Player,Predicted Points,Position,Team,Play Probability,Opponent Team,Price,At_Home,Season,Gw,FirstName
Serge Aurier,0.22137493,DEF,Tottenham Hotspur,1,Newcastle United,5.2,FALSE,2021,30,Aurier
Angelo Ogbonna,0.2166443,DEF,West Ham United,0,Wolverhampton Wanderers,4.8,FALSE,2021,30,Ogbonna
James Tomkins,0.18306096,DEF,Crystal Palace,0,Everton,4.4,FALSE,2021,30,Tomkins
Wes Morgan,0.17901549,DEF,Leicester City,0.5,Manchester City,4.4,TRUE,2021,30,Morgan
Martin Kelly,0.07869815,DEF,Crystal Palace,1,Everton,4.1,FALSE,2021,30,Kelly
Virgil van Dijk,0.075812496,DEF,Liverpool,0,Arsenal,6.2,FALSE,2021,30,van Dijk
Phil Bardsley,0.06922586,DEF,Burnley,1,Southampton,4.4,FALSE,2021,30,Bardsley
DeAndre Yedlin,0.057885576,DEF,Newcastle United,0,Tottenham Hotspur,4.3,TRUE,2021,30,Yedlin
Christian Fuchs,0.057885576,DEF,Leicester City,1,Manchester City,4.5,TRUE,2021,30,Fuchs
Ryan Bennett,0.05587709,DEF,Wolverhampton Wanderers,0,West Ham United,4.4,TRUE,2021,30,Bennett
Sokratis Papastathopoulos,0.05587709,DEF,Arsenal,0,Liverpool,4.8,TRUE,2021,30,Sokratis
Alfie Mawson,0.053789187,DEF,Fulham,0,Aston Villa,4.3,FALSE,2021,30,Mawson
Terence Kongolo,0.051780686,DEF,Fulham,1,Aston Villa,4.3,FALSE,2021,30,Kongolo
Chris Smalling,0.043087993,DEF,Manchester United,0,Brighton and Hove Albion,4.9,TRUE,2021,30,Smalling
Adam Webster,0.040189788,DEF,Brighton and Hove Albion,0,Manchester United,4.3,FALSE,2021,30,Webster
Mamadou Sakho,0.038991597,DEF,Crystal Palace,0,Everton,4.4,FALSE,2021,30,Sakho
Kieran Gibbs,0.035312064,DEF,West Bromwich Albion,0.25,Chelsea,4.3,FALSE,2021,30,Gibbs
Phil Jones,0.03345153,DEF,Manchester United,0,Brighton and Hove Albion,4.8,TRUE,2021,30,Jones
Sead Kolasinac,0.024750918,DEF,Arsenal,0,Liverpool,4.8,TRUE,2021,30,Kolasinac
Timothy Fosu-Mensah,0.02395506,DEF,Manchester United,0,Brighton and Hove Albion,4.3,TRUE,2021,30,Fosu-Mensah
Jonjoe Kenny,0.02395506,DEF,Everton,0,Crystal Palace,4.3,TRUE,2021,30,Kenny
Emerson Palmieri dos Santos,0.02395506,DEF,Chelsea,1,West Bromwich Albion,4.7,TRUE,2021,30,Emerson
Neil Taylor,0.02395506,DEF,Aston Villa,1,Fulham,4.2,TRUE,2021,30,Taylor
Danny Rose,0.020654518,DEF,Tottenham Hotspur,0,Newcastle United,4.7,FALSE,2021,30,Rose
Joseph Gomez,0.020654518,DEF,Liverpool,0,Arsenal,5.2,FALSE,2021,30,Gomez
Denis Odoi,0.01985866,DEF,Fulham,1,Aston Villa,4.2,FALSE,2021,30,Odoi
Tim Ream,0.01985866,DEF,Fulham,1,Aston Villa,4.2,FALSE,2021,30,Ream
Maxime Le Marchand,0.01985866,DEF,Fulham,0,Aston Villa,4.1,FALSE,2021,30,Le Marchand
Florian Lejeune,0.016170515,DEF,Newcastle United,0,Tottenham Hotspur,4.3,TRUE,2021,30,Lejeune
Marcos Rojo,0.016170515,DEF,Manchester United,0,Brighton and Hove Albion,4.8,TRUE,2021,30,Rojo
Arthur Masuaku,0.014082629,DEF,West Ham United,0.25,Wolverhampton Wanderers,4.3,FALSE,2021,30,Masuaku
Ben Gibson,0.012074118,DEF,Burnley,0,Southampton,3.9,FALSE,2021,30,Gibson
Jack O'Connell,0.012074118,DEF,Sheffield United,0,Leeds,4.7,FALSE,2021,30,O'Connell
Ryan Sessegnon,0.012074118,DEF,Tottenham Hotspur,0,Newcastle United,4.7,FALSE,2021,30,Sessegnon
Kortney Hause,0.011601341,DEF,Aston Villa,0.5,Fulham,4.4,TRUE,2021,30,Hause
John Egan,0.010030723,DEF,Sheffield United,0,Leeds,4.7,FALSE,2021,30,Egan
Bjorn Engels,0.009520946,DEF,Aston Villa,1,Fulham,4.4,TRUE,2021,30,Engels
Niels Nkounkou,0.009520946,DEF,Everton,1,Crystal Palace,4,TRUE,2021,30,Nkounkou
Bernardo Fernandes da Silva Junior,0.008713444,DEF,Brighton and Hove Albion,0,Manchester United,3.9,FALSE,2021,30,Bernardo
Alex Nicolao Telles,0.00585178,DEF,Manchester United,1,Brighton and Hove Albion,5.4,TRUE,2021,30,Telles
Cyrus Christie,0.005424547,DEF,Fulham,0,Aston Villa,4.2,FALSE,2021,30,Christie
